Stage,Model,MAE,RMSE,R2
V6,Prev Year Yield,157.60757046134466,164.22554991626592,-48.277210246774935
V6,5-Year Avg Yield,156.2321461187215,161.3344419264657,-46.55748128121803
V6,Linear Regression,18.305677994018207,25.28464254916942,-0.1680953634182556
V6,Random Forest,17.872842292552356,23.088462273846872,0.026009587784004085
V6,XGBoost,17.54409119515394,22.96702111394388,0.036228670509167005
V6,Initial Neural Network,17.51993611719316,23.537762271172348,-0.012266833876024563
V6,Tuned NN,17.202632394310793,23.85316129533593,-0.03957673835175535
V6,Tuned Engineered NN,16.838311499626514,23.372454493970825,0.0019017155437439648
V6,Tuned Pruned NN,19.996281524648293,26.863718829514738,-0.31855099210597926
V6,Weighted Ensemble (NN+XGB),17.005510768493547,22.828830406633376,0.04779164697418692
V12,Prev Year Yield,157.60757046134466,164.22554991626592,-48.277210246774935
V12,5-Year Avg Yield,156.2321461187215,161.3344419264657,-46.55748128121803
V12,Linear Regression,18.442279874734286,24.553472781529596,-0.10151525469290479
V12,Random Forest,20.539583601007713,27.09023430894071,-0.34088084281754805
V12,XGBoost,17.627497034604108,22.80774636079968,0.049549698806753084
V12,Initial Neural Network,19.170506549342438,25.45762633158852,-0.18413298399872335
V12,Tuned NN,20.440479067313028,25.2648773528468,-0.16626985924136295
V12,Tuned Engineered NN,19.53806386729639,25.922249398047864,-0.2277502539986782
V12,Tuned Pruned NN,17.50208076679693,23.768450756442586,-0.032206081364645645
V12,Weighted Ensemble (NN+XGB),17.400755108303755,22.36812133690239,0.08583690822806833
R1,Prev Year Yield,157.60757046134466,164.22554991626592,-48.277210246774935
R1,5-Year Avg Yield,156.2321461187215,161.3344419264657,-46.55748128121803
R1,Linear Regression,16.32914096024616,21.1274231317975,0.18443660717498933
R1,Random Forest,15.031561124232404,19.404700685577854,0.31201564909510227
R1,XGBoost,14.867232275368675,19.062496586482048,0.3360670521028415
R1,Initial Neural Network,15.072300582218466,19.487496572671386,0.3061321470767494
R1,Tuned NN,15.490878081872914,20.066684402446423,0.2642743385283489
R1,Tuned Engineered NN,15.46455305924177,20.221991954384407,0.25284186414890863
R1,Tuned Pruned NN,14.803066879218903,19.256323573562067,0.32249670247628615
R1,Weighted Ensemble (NN+XGB),14.6455376733707,18.838069104982207,0.35160831801758874
R3,Prev Year Yield,157.60757046134466,164.22554991626592,-48.277210246774935
R3,5-Year Avg Yield,156.2321461187215,161.3344419264657,-46.55748128121803
R3,Linear Regression,15.661187525180774,21.043002001792807,0.19094125523575767
R3,Random Forest,14.616624641788695,19.66211987400373,0.2936412287287119
R3,XGBoost,14.362557479502385,19.16719138725601,0.3287541370018148
R3,Initial Neural Network,13.915609640523384,18.32801332981001,0.3862444286734865
R3,Tuned NN,13.91213615519037,18.319484922878292,0.3868154823220079
R3,Tuned Engineered NN,14.203316979683162,18.969485978584707,0.34253023002319316
R3,Tuned Pruned NN,14.365902107242606,18.850408509859687,0.3507586143892979
R3,Weighted Ensemble (NN+XGB),14.036693221356645,18.49003462764212,0.3753451557146563
