Stage,Model,MAE,RMSE,R2,MAPE
V6,Prev Year Yield,22.75054322153992,30.49896650641422,0.4104301774312423,
V6,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379,
V6,Linear Regression,18.30567799401821,25.28464254916941,0.5947914163901853,
V6,Random Forest,19.134666509211147,24.74059016713504,0.6120416441502242,
V6,XGBoost,18.858105054654093,24.278544896346435,0.6263970400162755,
V12,Prev Year Yield,22.75054322153992,30.49896650641422,0.4104301774312423,
V12,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379,
V12,Linear Regression,18.4422798747343,24.553472781529617,0.6178878453274907,
V12,Random Forest,21.22572319319792,27.57106871485684,0.5181940032719241,
V12,XGBoost,18.12228520081357,23.229086964611263,0.6579975008848136,
R1,Prev Year Yield,22.75054322153992,30.49896650641422,0.4104301774312423,
R1,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379,
R1,Linear Regression,16.329140960246157,21.12742313179749,0.7170836409421598,
R1,Random Forest,15.901424185167691,20.239092364780543,0.7403746681923635,
R1,XGBoost,15.422674032396625,19.61239240522232,0.7562042402183753,
R3,Prev Year Yield,22.75054322153992,30.49896650641422,0.4104301774312423,
R3,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379,
R3,Linear Regression,15.661187525180704,21.043002001792768,0.719340082762006,
R3,Random Forest,14.653972602739726,19.502340322989166,0.7589326125132874,
R3,XGBoost,14.346734669286546,19.10238025897412,0.7687189917755417,
V6,Initial Neural Network,16.910557834166347,23.73658739414851,0.6428903705332814,14.412349825611193
V6,Tuned NN,17.983705261618386,23.815775421572287,0.6405036771672473,14.076734951783887
V6,Tuned Engineered NN,17.916952185863614,24.746258453964067,0.6118638544422403,15.030883444370396
V6,Tuned Pruned NN,25.19007548093965,32.123962792334055,0.34593150864415,18.9929543913476
V6,Weighted Ensemble (NN+XGB),16.59494421402632,22.602559556401825,0.6761974650983047,13.682502207492677
V12,Initial Neural Network,19.51164406063896,24.773895300570963,0.6109964223765588,14.513654609150592
V12,Tuned NN,19.38912681013967,24.122053169692524,0.6311977681254481,14.13413712614758
V12,Tuned Engineered NN,23.66623181700029,28.85845949162701,0.4721490737604844,16.68600419327286
V12,Tuned Pruned NN,24.30285334175888,30.25708975207352,0.4197444449585191,17.876203824060624
V12,Weighted Ensemble (NN+XGB),18.0560602737424,22.93606020283737,0.6665715607190819,13.493858781986546
R1,Initial Neural Network,16.77388924203079,21.27728368278249,0.7130558549268775,12.17785453358531
R1,Tuned NN,17.26525397733424,21.637325397666284,0.7032626919471584,12.250044660818466
R1,Tuned Engineered NN,18.267128291742544,24.68572402216846,0.6137604533596825,13.46917099100135
R1,Tuned Pruned NN,19.815804119872908,25.003655463796157,0.6037475032446833,14.709017996017668
R1,Weighted Ensemble (NN+XGB),15.24313346252439,19.60602133998806,0.7563626080883761,11.250625472421309
R3,Initial Neural Network,14.228110114627484,18.512310381682543,0.782786783791078,10.580855133163473
R3,Tuned NN,13.631001353941148,17.722600868564886,0.8009235381679586,10.23509105616842
R3,Tuned Engineered NN,13.921613213227104,18.24760540816966,0.7889541765838483,10.918373946480497
R3,Tuned Pruned NN,18.614294459169063,23.91817960574127,0.6374054723746951,14.429261905242472
R3,Weighted Ensemble (NN+XGB),14.479320953245765,19.11910198800089,0.7683138997383138,11.323630728106997
V6,XGB_Fold_1,20.164803011343917,26.815703906465508,0.5438943282999797,20.951054268402224
V6,LGBM_Fold_1,20.22535672329535,27.02597240926971,0.5367134119983088,21.215340388771537
V6,NN_Fold_1,20.043419920704476,27.047436360794308,0.5359772379617829,20.8037200128939
V6,XGB_Fold_2,20.251889037598527,25.693318721588096,0.5269254786200244,17.132561543965412
V6,LGBM_Fold_2,20.104377159774593,25.429338930162405,0.5365965202855731,16.901610841016115
V6,NN_Fold_2,20.358583477780392,25.669540432983155,0.5278007020495388,17.134435512920124
V6,XGB_Fold_3,17.886534567462725,23.22520782679358,0.5919071814139988,17.031746029157635
V6,LGBM_Fold_3,17.9555290770816,23.328904409824943,0.5882549168483641,17.094183376097458
V6,NN_Fold_3,17.805039967566415,23.248559300048857,0.5910861459857408,16.85194599851815
V6,XGB_Fold_4,17.87637489129545,23.408143254831018,0.7061658671058166,18.844512187748762
V6,LGBM_Fold_4,17.884242137783907,23.478038930129326,0.7044084959805165,18.85215351014754
V6,NN_Fold_4,18.833460352906148,24.20718182943533,0.6857633941839758,19.32410909414555
V6,XGB_Fold_5,16.80747656570052,21.631267707084234,0.647473465546589,14.359590087709917
V6,LGBM_Fold_5,16.8534976750427,21.653085270196673,0.6467619817100201,14.399134359481442
V6,NN_Fold_5,17.05953159416661,22.29261183437921,0.6255879863316318,14.812416471927884
V6,YEAR_GROUPED_BLENDER_V2,18.428187577917335,23.778861224716003,0.6416172443902344,14.545403032735466
V12,XGB_Fold_1,19.542936253029733,27.001839272659755,0.5375404361991609,21.309107948169082
V12,LGBM_Fold_1,19.462214624651295,26.884581219235503,0.5415482642960964,21.179239928730386
V12,NN_Fold_1,19.336002143465706,27.468820106174253,0.5214061870881522,21.106779113061464
V12,XGB_Fold_2,17.02969862618633,21.650407270919114,0.6640912700763579,14.324211755417435
V12,LGBM_Fold_2,17.17706252801428,21.82921263484438,0.6585199843521842,14.385402230596833
V12,NN_Fold_2,17.223548520131647,21.981190892551254,0.6537485619542818,14.621112628467051
V12,XGB_Fold_3,16.467145240833904,21.479140986865062,0.6509613245367781,15.1914655630239
V12,LGBM_Fold_3,16.523407142990187,21.53749095615957,0.6490623603688592,15.156373660615962
V12,NN_Fold_3,16.81599307994458,22.107591236949595,0.6302377365972254,16.025002411789846
V12,XGB_Fold_4,16.89160444404409,22.166398463965237,0.7365133704183825,17.070524443024983
V12,LGBM_Fold_4,16.987360558668474,22.201395219016003,0.7356807176679265,17.084268303198982
V12,NN_Fold_4,17.784533855170427,23.28886118709974,0.7091528483208331,17.872673963620926
V12,XGB_Fold_5,16.18662883953787,20.577899942338338,0.6809711416794877,13.35743839110674
V12,LGBM_Fold_5,16.10593445203501,20.53354282523123,0.6823450378022742,13.24527585240741
V12,NN_Fold_5,15.672771583366117,20.12846087314009,0.694754687920931,13.794274488031252
V12,YEAR_GROUPED_BLENDER_V2,18.12204585719519,22.86701331322524,0.6685760500114524,13.653868741716991
R1,XGB_Fold_1,16.939505023334014,22.048810226052186,0.6916404603806396,17.19053727104986
R1,LGBM_Fold_1,16.688513810913864,21.655766569600797,0.7025361514282302,16.820436371224996
R1,NN_Fold_1,15.92970764704884,20.728462360278304,0.7274656525384505,16.719221967836756
R1,XGB_Fold_2,14.610033915453698,18.593386539229666,0.7522542882260119,12.632746446025052
R1,LGBM_Fold_2,14.663791576092391,18.74816712573656,0.7481124033669353,12.733782738936753
R1,NN_Fold_2,16.337748728546238,20.4570198495507,0.7001017833566912,13.944436103737825
R1,XGB_Fold_3,15.267736478526153,19.49609324897213,0.7124357316018115,13.440512520808948
R1,LGBM_Fold_3,15.22125037582619,19.504926695151568,0.7121750887213201,13.444299975930582
R1,NN_Fold_3,16.316723947566736,20.81437297011621,0.6722321145932468,15.232669405747876
R1,XGB_Fold_4,15.067940945487516,19.73974051896657,0.7910457593084568,14.800483398626463
R1,LGBM_Fold_4,15.087028335163478,19.74763584791365,0.7908785744974559,14.765461293131724
