fips,slope,sand_pct,silt_pct,clay_pct,organic_matter_pct,pH_soil,awc_soil,cec_soil
1001,9.29,58.938,24.643,16.418,1.065,5.272,0.123,8.345
1003,4.94,61.753,23.081,12.615,2.925,5.098,0.135,10.595
1005,8.17,65.569,16.885,17.546,1.101,5.093,0.109,12.107
1009,8.97,32.913,42.548,24.539,1.294,5.104,0.151,10.29
1013,7.22,51.464,23.583,22.478,0.967,5.311,0.127,11.851
1015,8.26,32.723,42.403,24.874,1.131,5.172,0.148,12.816
1019,10.9,38.717,38.004,23.279,1.188,5.064,0.154,8.267
1021,9.33,54.998,26.125,18.887,1.042,5.132,0.133,7.414
1031,5.39,71.429,15.46,13.111,1.008,5.126,0.1,3.133
1033,9.21,27.339,47.638,25.023,1.087,5.215,0.164,10.531
1035,5.41,60.283,19.7,20.017,0.875,5.125,0.124,26.169
1039,4.78,69.682,16.44,13.44,2.672,5.15,0.117,5.116
1043,8.45,40.12,36.814,23.097,1.088,5.022,0.145,9.802
1045,6.76,64.445,18.643,16.912,1.109,5.087,0.116,4.894
1047,4.65,49.17,26.849,23.981,1.097,5.517,0.136,16.32
1049,10.07,31.58,42.422,25.999,1.197,5.185,0.143,16.544
1051,6.31,56.909,24.164,18.851,0.987,5.271,0.128,8.581
1053,4.78,61.989,21.15,13.538,3.865,5.147,0.126,4.719
1055,15.43,39.74,34.563,22.664,1.241,5.002,0.147,8.177
1057,8.52,45.153,34.434,20.413,1.211,4.914,0.139,5.164
1059,8.03,41.715,35.227,22.828,1.211,5.176,0.147,17.43
1061,2.87,67.496,18.595,13.91,1.325,5.114,0.11,4.343
1063,4.47,43.816,29.24,26.825,1.498,5.436,0.148,23.271
1065,7.67,38.767,32.581,28.653,1.315,5.587,0.14,24.21
1067,7.01,66.696,16.629,16.676,1.193,5.282,0.11,3.813
1069,4.2,70.535,15.933,12.567,1.56,5.235,0.104,4.327
1071,8.72,31.308,42.309,26.383,1.098,5.209,0.153,19.195
1075,11.92,52.127,29.057,18.816,1.086,4.963,0.138,5.606
1077,5.62,23.19,50.648,26.162,1.147,5.16,0.16,10.78
1079,6.18,33.08,40.045,26.875,1.192,5.429,0.153,17.888
1083,7.9,18.887,53.588,27.524,1.195,5.279,0.165,16.536
1085,8.55,45.164,28.646,26.203,1.232,5.641,0.133,19.144
1087,5.35,52.369,24.582,22.872,1.112,5.346,0.116,18.811
1089,6.33,28.311,44.503,27.185,1.341,5.315,0.159,20.246
1091,5.35,44.106,27.687,28.207,1.331,5.524,0.139,18.36
1093,10.16,49.783,33.007,17.21,1.191,5.011,0.147,7.799
1095,7.65,36.573,38.228,25.199,1.197,5.237,0.153,17.154
1097,4.22,60.251,24.686,12.472,3.881,5.048,0.142,26.497
1099,5.7,51.98,25.99,22.03,0.937,5.083,0.135,6.413
1101,5.09,41.153,29.025,29.822,1.084,5.42,0.145,22.16
1103,7.13,39.676,35.718,24.606,1.176,5.233,0.155,13.731
1105,4.78,39.592,29.81,30.599,1.381,5.588,0.14,23.388
1109,7.73,64.723,17.467,17.809,0.77,5.04,0.105,9.979
1111,10.79,52.216,24.806,22.658,0.914,5.213,0.127,7.333
1113,5.42,55.075,21.859,23.066,1.043,5.289,0.118,18.916
1117,14.19,31.307,42.033,26.397,1.058,5.141,0.15,8.969
1119,4.04,36.391,34.099,29.51,1.082,5.562,0.152,18.277
1121,10.93,32.845,41.104,25.44,1.107,5.085,0.145,7.925
1125,12.32,41.294,39.301,19.405,1.053,5.145,0.148,6.072
1127,15.76,44.778,35.831,19.391,0.888,5.098,0.136,8.522
1129,8.13,57.914,25.328,16.616,1.141,5.066,0.136,11.99
1131,6.05,38.89,30.184,30.861,0.974,5.23,0.141,18.893
5001,2.53,21.125,51.047,27.828,1.124,5.824,0.169,20.714
5003,2.2,25.554,52.656,21.789,1.192,5.477,0.18,17.699
5017,1.41,15.945,54.447,29.608,1.312,5.87,0.19,23.187
5021,3.74,26.293,54.563,19.144,1.107,5.647,0.186,14.65
5029,5.8,36.81,42.286,20.904,1.287,5.676,0.151,12.755
5031,4.03,24.401,55.371,20.228,1.172,5.782,0.185,15.123
5033,12.72,41.909,39.567,18.524,1.351,5.607,0.137,11.181
5035,0.77,21.736,42.987,35.276,1.118,6.396,0.161,20.849
5037,4.44,16.271,56.465,27.264,0.99,5.515,0.186,14.85
5041,0.84,12.849,46.129,41.022,1.335,6.373,0.174,23.969
5043,3.09,24.907,53.976,21.118,1.086,5.402,0.183,18.608
5045,6.94,37.41,40.496,22.094,1.223,5.609,0.153,14.432
5055,3.95,25.793,54.838,19.369,1.17,5.72,0.182,13.395
5063,8.79,33.47,47.018,19.512,1.88,5.45,0.145,12.754
5067,4.77,30.923,48.34,20.737,1.302,5.596,0.171,12.959
5071,17.91,45.402,34.967,19.631,1.293,5.326,0.137,11.056
5075,6.26,28.834,50.945,20.221,1.767,5.585,0.162,10.605
5077,2.79,20.04,54.442,25.518,1.204,6.086,0.179,15.294
5083,12.25,35.304,43.966,20.73,1.398,5.539,0.14,12.48
5093,0.5,32.311,37.922,29.767,1.306,6.312,0.15,18.11
5095,1.59,18.26,59.361,22.379,1.175,5.751,0.183,16.277
5107,2.89,18.469,55.99,25.541,1.175,6.099,0.179,15.921
5111,4.22,16.173,56.868,26.958,1.215,5.786,0.187,20.064
