Stage,Model,MAE,RMSE,R2
V6,Prev Year Yield,22.750543221539914,30.49896650641422,0.4104301774312423
V6,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379
V6,Linear Regression,18.305677994018204,25.284642549169405,0.5947914163901855
V6,Random Forest,19.134666509211147,24.740590167135036,0.6120416441502242
V6,XGBoost,18.858105054654093,24.278544896346435,0.6263970400162755
V6,Initial Neural Network,18.413692969246,25.361940616901215,0.5923100906036383
V6,Tuned NN,17.983705210705153,23.815775352668844,0.640503679247426
V6,Tuned Engineered NN,17.916952157472323,24.746258443287143,0.6118638547771676
V6,Tuned Pruned NN,20.07681705654215,25.516132900188243,0.5873377794489685
V6,Weighted Ensemble (NN+XGB),17.373501636090396,23.378148309099295,0.6535941491742402
V12,Prev Year Yield,22.750543221539914,30.49896650641422,0.4104301774312423
V12,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379
V12,Linear Regression,18.442279874734275,24.553472781529592,0.6178878453274916
V12,Random Forest,21.226843646669813,27.569505375881526,0.5182486405981912
V12,XGBoost,18.122285200813575,23.229086964611266,0.6579975008848136
V12,Initial Neural Network,19.36927436485151,24.76655533735745,0.6112268947296333
V12,Tuned NN,19.389126750831895,24.122053119402057,0.6311977696632307
V12,Tuned Engineered NN,23.666231777825768,28.858459437062162,0.4721490757565787
V12,Tuned Pruned NN,20.95308171374528,26.030178221591555,0.5705433984542123
V12,Weighted Ensemble (NN+XGB),17.973169974810286,22.883757244127864,0.6680905146823994
R1,Prev Year Yield,22.750543221539914,30.49896650641422,0.4104301774312423
R1,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379
R1,Linear Regression,16.329140960246153,21.12742313179749,0.7170836409421599
R1,Random Forest,15.9042711384034,20.241541056733816,0.7403118411734358
R1,XGBoost,15.422674032396625,19.612392405222316,0.7562042402183753
R1,Initial Neural Network,16.79494022774468,21.3047807298949,0.7123137287166945
R1,Tuned NN,17.26525394109439,21.637325366715235,0.7032626927960924
R1,Tuned Engineered NN,18.26712796742661,24.6857220056443,0.6137605164618499
R1,Tuned Pruned NN,17.47668224223541,21.879343069843518,0.6965874391315736
R1,Weighted Ensemble (NN+XGB),15.243133430256593,19.606021108088427,0.7563626138518525
R3,Prev Year Yield,22.750543221539914,30.49896650641422,0.4104301774312423
R3,5-Year Avg Yield,18.17117461817037,23.658601483803352,0.6452330636649379
R3,Linear Regression,15.661187525180745,21.043002001792793,0.7193400827620053
R3,Random Forest,14.6475531412376,19.487948002645187,0.7592882866315118
R3,XGBoost,14.346734669286546,19.102380258974122,0.7687189917755417
R3,Initial Neural Network,14.222866074664289,18.28571939730429,0.7880716280380314
R3,Tuned NN,13.63100144733895,17.722600922411804,0.8009235369582429
R3,Tuned Engineered NN,13.921613253118238,18.247605444091743,0.7889541757529223
R3,Tuned Pruned NN,15.391938571788183,19.568966865785015,0.7572826646549073
R3,Weighted Ensemble (NN+XGB),14.004606650713727,18.227569093703984,0.789417389027125
